COMMON.NAME,SCIENTIFIC.NAME,GROUP,ESA.STATUS,IUCN.STATUS,YEAR,BYCATCH,UNIT,CV,FOOTNOTE.S.,REGION,FISHERY.TYPE,FISHERY,TOTAL.FISHERY.BYCATCH,TOTAL.FISHERY.LANDINGS,TOTAL.CATCH,FISHERY.BYCATCH.RATIO,OBSERVER.COVERAGE,MMPA Category
Sea anemones (unidentified),Actiniaria,invertebrate,,,2013,2954.23,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Anoplopoma fimbria,fish,,not assessed,2013,371116.73,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Sea star,Asteroidea,invertebrate,,,2013,957601.19,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Pacific herring,Clupea pallasii,fish,,not assessed,2013,0,POUND,NA,a,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Large sculpins,Cottidae,fish,,,2013,1368007.05,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Other sculpins,Cottidae,fish,,,2013,87631.85,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Miscellaneous crustaceans (unidentified),Crustacea,invertebrate,,,2013,0.55,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Miscellaneous crabs (unidentified),Decapoda,invertebrate,,,2013,184.48,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
"Urchins, dollars and/or cucumbers",Echinodermata,invertebrate,,,2013,320.66,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Sharks,Elasmobranchii,fish,,,2013,1530489.72,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Walleye pollock - Aleutian Islands,Gadus chalcogrammus,fish,,not assessed,2013,32.14,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Walleye pollock - Eastern Bering Sea,Gadus chalcogrammus,fish,,not assessed,2013,69.02,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Walleye pollock - Western / Central Gulf of Alaska,Gadus chalcogrammus,fish,,not assessed,2013,20195.12,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Pacific cod,Gadus macrocephalus,fish,,not assessed,2013,886577.89,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Pacific cod - Gulf of Alaska,Gadus macrocephalus,fish,,not assessed,2013,3866755.12,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Snails,Gastropoda,invertebrate,,,2013,1803.18,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Greenlings,Hexagrammidae,fish,,,2013,1123.31,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Flathead sole - Gulf of Alaska,Hippoglossoides elassodon,fish,,not assessed,2013,165.34,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Pacific halibut,Hippoglossus stenolepis,fish,,not assessed,2013,3483163.88,POUND,NA,g,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Golden king crab,Lithodes aequispinus,invertebrate,,not assessed,2013,2483.82,POUND,NA,a,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Grenadiers,Macrouridae,fish,,,2013,2000215.1,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Sea pens and whips,Octocorallia,invertebrate,,,2013,43.75,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Octopus,Octopoda,invertebrate,,,2013,210183.94,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Chinook salmon,Oncorhynchus tshawytscha,fish,,not assessed,2013,0,POUND,NA,a,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Brittle stars (unidentified),Ophiuroidea,invertebrate,,,2013,582.14,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Hermit crabs (unidentified),Paguroidea,invertebrate,,,2013,22.69,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Atka mackerel,Pleurogrammus monopterygius,fish,,not assessed,2013,1731.81,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Atka mackerel - Bering Sea / Aleutian Islands,Pleurogrammus monopterygius,fish,,not assessed,2013,122.03,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Flatfishes,Pleuronectiformes,fish,,,2013,17135.15,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Sponges (unidentified),Porifera,invertebrate,,,2013,1638.71,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Big skate,Raja binoculata,fish,,LC,2013,905582.41,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Longnose skate,Raja rhina,fish,,LC,2013,1434430.53,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Skates,Rajidae,fish,,,2013,2174945.63,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Greenland halibut - Bering Sea / Aleutian Islands,Reinhardtius hippoglossoides,fish,,not assessed,2013,95768.47,POUND,NA,b,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
